age,job,marital,education,default,spending,housing,cash_loan,contact_number_type,maturity,app_channel,max_late_charge,cash_withdraw_freq,poutcome,y
33,services,married,secondary,no,4789,yes,yes,cellular,220,1,339,4,success,no
35,management,single,tertiary,no,1350,yes,no,cellular,185,1,330,1,success,no
35,management,single,tertiary,no,747,no,no,cellular,141,2,176,3,success,no
43,services,married,primary,no,200,yes,yes,cellular,313,1,147,2,success,no
31,blue-collar,married,secondary,no,360,yes,yes,cellular,89,1,241,1,success,no
37,admin.,single,tertiary,no,2317,yes,no,cellular,114,1,152,2,success,no
67,retired,married,unknown,no,696,no,no,telephone,119,1,105,2,success,no
33,management,married,secondary,no,3935,yes,no,cellular,35,1,342,2,success,yes
38,management,single,tertiary,no,11971,yes,no,unknown,244,2,101,3,success,no
51,blue-collar,divorced,secondary,no,203,yes,no,cellular,134,1,170,5,success,no
40,unemployed,married,secondary,no,219,yes,no,cellular,204,2,196,1,success,no
52,services,married,secondary,no,657,no,no,telephone,33,2,460,2,success,yes
30,admin.,single,tertiary,no,261,no,no,cellular,233,1,137,20,success,no
38,management,single,tertiary,no,493,yes,no,cellular,188,1,367,7,success,no
32,management,single,tertiary,no,574,yes,no,cellular,259,2,145,3,success,no
33,blue-collar,single,secondary,no,200,no,no,cellular,76,2,207,1,success,no
51,management,single,tertiary,yes,200,yes,no,cellular,281,2,266,6,success,no
32,blue-collar,single,secondary,no,228,no,no,telephone,176,1,288,3,success,no
48,admin.,married,unknown,no,200,yes,no,cellular,85,1,168,2,success,no
29,admin.,single,secondary,no,428,yes,yes,cellular,54,1,345,2,success,no
55,technician,married,secondary,no,273,yes,no,cellular,84,3,183,3,success,no
28,management,single,tertiary,no,200,no,no,cellular,311,2,146,2,success,yes
37,admin.,married,secondary,no,200,yes,no,cellular,147,2,347,1,success,no
37,admin.,married,tertiary,no,200,yes,no,cellular,65,2,119,1,success,no
36,technician,married,secondary,no,200,yes,no,cellular,152,2,347,1,success,no
35,technician,single,tertiary,no,2658,yes,no,cellular,38,2,141,3,success,yes
39,management,divorced,tertiary,no,1315,yes,no,cellular,242,4,126,1,success,no
29,technician,married,secondary,no,1599,yes,no,cellular,115,1,61,1,success,no
38,services,single,secondary,no,200,yes,no,cellular,60,1,271,1,success,no
30,blue-collar,married,secondary,no,975,yes,no,cellular,256,2,351,2,success,no
44,technician,single,secondary,no,200,yes,no,cellular,195,3,351,10,success,no
43,technician,married,secondary,no,200,no,yes,cellular,9,2,172,5,success,no
58,retired,married,primary,no,3401,yes,no,cellular,84,3,265,2,success,no
58,technician,married,tertiary,no,883,no,no,cellular,178,1,78,2,success,no
40,services,married,secondary,no,200,yes,no,cellular,297,1,28,3,success,no
35,housemaid,married,tertiary,no,11219,no,no,cellular,334,2,79,1,success,no
65,retired,divorced,primary,no,1840,no,no,cellular,18,2,188,5,success,no
49,blue-collar,married,secondary,no,8545,yes,yes,cellular,199,7,167,1,success,no
25,admin.,single,tertiary,no,760,yes,no,cellular,223,3,89,2,success,yes
35,entrepreneur,married,secondary,no,2971,no,no,cellular,64,4,164,2,success,yes
33,technician,married,secondary,no,6699,no,no,cellular,60,1,462,1,success,no
33,management,single,tertiary,no,1410,yes,no,cellular,8,1,254,5,success,no
41,management,married,tertiary,no,832,yes,yes,cellular,164,1,176,1,success,no
36,blue-collar,single,secondary,no,219,yes,yes,cellular,270,2,347,1,success,no
47,self-employed,married,tertiary,no,2303,yes,no,cellular,323,2,364,1,success,no
50,management,married,tertiary,no,200,no,no,cellular,223,1,96,2,success,no
29,management,married,tertiary,no,318,yes,no,cellular,339,2,356,4,success,no
32,management,single,tertiary,no,8436,yes,no,cellular,245,1,149,2,success,no
42,admin.,married,secondary,no,396,yes,no,cellular,80,1,308,4,success,no
30,services,single,secondary,no,200,yes,no,cellular,131,6,363,9,success,no
37,management,married,tertiary,no,393,yes,no,cellular,202,3,275,4,success,yes
39,blue-collar,married,secondary,no,200,yes,no,cellular,53,1,325,1,success,no
37,services,married,secondary,no,1328,yes,no,telephone,121,2,341,4,success,no
33,blue-collar,married,secondary,no,200,yes,no,cellular,332,2,358,2,success,no
44,management,married,secondary,no,438,yes,no,telephone,37,3,303,1,success,no
54,admin.,married,secondary,no,200,no,no,cellular,161,1,98,2,success,yes
75,retired,divorced,tertiary,no,3810,yes,no,cellular,262,1,183,1,success,yes
37,management,married,tertiary,no,502,yes,no,cellular,186,1,351,1,success,no
37,management,single,tertiary,no,876,yes,no,cellular,140,4,327,2,success,no
43,blue-collar,married,secondary,no,200,no,no,cellular,156,1,337,3,success,no
43,management,divorced,tertiary,no,200,no,no,cellular,118,1,102,2,success,no
59,housemaid,married,secondary,no,200,no,no,telephone,357,1,99,4,success,no
40,technician,married,secondary,no,694,yes,no,cellular,97,4,196,5,success,no
50,housemaid,married,secondary,no,7317,yes,no,cellular,172,1,370,1,success,no
32,management,single,tertiary,no,12607,no,no,cellular,203,5,84,1,success,no
38,blue-collar,married,secondary,no,200,yes,yes,cellular,168,1,212,2,success,no
52,technician,married,secondary,no,200,yes,no,cellular,220,1,63,5,success,yes
45,unemployed,divorced,primary,no,757,no,no,cellular,103,1,325,4,success,no
43,admin.,divorced,secondary,no,738,yes,no,cellular,220,4,191,4,success,no
43,services,married,primary,no,2567,yes,no,cellular,109,1,360,2,success,no
63,retired,married,secondary,no,2747,no,no,cellular,113,1,80,1,success,no
50,technician,married,secondary,no,2497,yes,no,cellular,35,1,176,1,success,no
40,technician,married,secondary,no,200,yes,yes,cellular,194,1,247,1,success,no
53,management,married,tertiary,no,1319,yes,no,cellular,62,1,150,1,success,no
33,technician,single,tertiary,no,696,no,yes,cellular,193,1,176,8,success,no
47,housemaid,married,primary,no,201,yes,no,cellular,58,2,382,1,success,no
60,retired,divorced,unknown,no,200,yes,no,cellular,188,1,261,2,success,no
39,technician,married,tertiary,no,1161,yes,no,cellular,236,1,336,1,success,no
40,management,single,tertiary,no,1509,no,no,cellular,333,1,58,3,success,no
59,management,married,tertiary,no,2764,no,no,cellular,237,1,206,2,success,no
33,technician,married,tertiary,no,8023,no,no,cellular,107,1,105,3,success,no
46,management,divorced,tertiary,no,6269,yes,no,telephone,249,3,112,2,success,no
60,management,married,primary,no,252,yes,yes,cellular,123,2,147,3,success,no
33,housemaid,single,tertiary,no,23663,yes,no,cellular,199,2,146,2,success,no
27,entrepreneur,single,tertiary,no,200,no,no,cellular,197,1,199,3,success,no
54,technician,married,secondary,no,200,no,no,telephone,256,1,94,8,success,no
55,management,married,primary,no,621,no,yes,cellular,114,1,208,1,success,no
44,technician,married,secondary,no,310,yes,no,cellular,200,1,253,1,success,no
32,entrepreneur,married,unknown,no,200,yes,no,cellular,158,1,135,1,success,no
46,services,married,secondary,no,1550,yes,no,cellular,126,2,149,8,success,no
35,entrepreneur,married,tertiary,no,200,no,no,cellular,74,1,168,4,success,no
25,student,single,secondary,no,1790,no,no,cellular,224,1,322,3,success,no
40,blue-collar,married,secondary,no,498,yes,no,cellular,55,2,298,4,success,no
48,blue-collar,married,primary,no,1092,no,yes,cellular,79,1,172,8,success,no
36,technician,single,secondary,no,1855,yes,no,cellular,75,1,273,1,success,no
28,services,married,secondary,no,200,yes,no,cellular,335,2,281,8,success,no
37,management,divorced,secondary,no,414,no,no,cellular,293,2,162,4,success,no
52,management,married,tertiary,no,1944,yes,no,cellular,238,3,323,2,success,no
28,technician,single,secondary,no,200,no,no,telephone,40,8,349,6,success,no
34,student,single,unknown,no,1281,no,no,cellular,279,1,117,1,success,no
30,blue-collar,single,secondary,no,445,yes,no,cellular,218,1,330,2,success,no
40,management,married,secondary,no,643,yes,no,cellular,74,2,256,1,success,no
40,management,married,tertiary,no,1212,yes,no,cellular,164,2,333,18,success,no
41,technician,married,secondary,no,2125,yes,yes,cellular,285,3,116,4,success,no
31,management,single,tertiary,no,200,yes,no,cellular,159,2,271,1,success,no
59,management,single,secondary,no,671,yes,yes,cellular,219,2,259,5,success,no
36,blue-collar,married,secondary,no,461,no,no,cellular,254,2,353,1,success,no
34,technician,single,tertiary,no,200,yes,yes,cellular,104,1,85,19,success,no
56,technician,married,secondary,no,200,yes,yes,cellular,102,6,349,1,success,no
31,technician,single,secondary,no,200,yes,no,telephone,95,2,345,2,success,no
45,entrepreneur,married,primary,no,200,yes,no,telephone,119,3,371,3,success,no
28,management,single,tertiary,no,882,no,yes,cellular,94,1,205,2,success,no
27,student,single,tertiary,no,5291,no,no,cellular,192,2,92,2,success,yes
49,management,single,secondary,no,200,yes,no,cellular,185,2,246,1,success,no
30,technician,single,tertiary,no,200,yes,no,cellular,45,2,169,2,success,no
34,admin.,married,tertiary,no,200,yes,no,cellular,76,1,69,2,success,no
41,management,married,tertiary,no,200,no,no,cellular,41,2,266,2,success,no
38,admin.,married,primary,no,3913,yes,no,cellular,196,2,315,2,success,no
36,management,married,tertiary,no,222,yes,no,cellular,317,1,169,2,success,no
52,technician,married,secondary,no,200,yes,yes,cellular,116,1,273,3,success,no
35,blue-collar,married,secondary,no,6411,yes,yes,cellular,144,1,266,2,success,no
58,self-employed,married,primary,no,1013,yes,no,cellular,206,1,461,1,success,yes
37,technician,single,secondary,no,5436,yes,no,cellular,7,11,351,1,success,no
34,management,single,tertiary,no,673,yes,yes,cellular,271,1,184,1,success,no
20,student,single,secondary,no,291,no,no,telephone,172,5,371,5,success,no
42,technician,married,secondary,no,994,yes,no,cellular,149,1,78,5,success,yes
55,blue-collar,divorced,secondary,no,1613,yes,no,cellular,296,1,270,3,success,yes
45,technician,single,unknown,no,7108,yes,yes,cellular,53,1,172,3,success,no
30,management,single,tertiary,no,726,yes,no,cellular,39,1,342,3,success,no
38,admin.,married,tertiary,no,1988,no,no,cellular,164,2,130,2,success,yes
45,management,divorced,tertiary,no,2096,no,no,cellular,127,1,100,2,success,no
59,management,married,tertiary,no,1831,no,no,cellular,122,1,92,1,success,no
37,blue-collar,single,primary,no,851,yes,no,cellular,151,1,352,1,success,no
35,blue-collar,married,secondary,no,200,no,yes,unknown,5,1,808,12,success,no
59,technician,married,secondary,no,200,no,no,cellular,159,2,378,3,success,yes
35,technician,married,secondary,no,2789,yes,no,cellular,256,2,94,1,success,no
42,technician,single,tertiary,no,411,yes,no,cellular,78,5,292,3,success,no
32,technician,married,tertiary,no,4089,no,no,cellular,114,7,287,3,success,no
36,management,single,tertiary,no,243,yes,no,cellular,160,2,360,3,success,no
47,admin.,married,secondary,no,1934,no,yes,cellular,225,1,364,1,success,no
31,management,single,tertiary,no,200,yes,no,cellular,175,1,293,5,success,no
50,management,married,tertiary,no,470,yes,no,cellular,141,2,170,3,success,no
33,blue-collar,single,secondary,no,706,yes,no,cellular,329,1,322,1,success,no
36,management,married,secondary,no,1825,yes,no,cellular,24,1,346,1,success,no
59,self-employed,married,tertiary,no,200,no,no,cellular,177,5,138,1,success,no
39,blue-collar,married,unknown,no,200,no,no,cellular,1,1,193,3,success,no
58,retired,single,secondary,no,1640,no,yes,cellular,72,6,274,4,success,no
60,admin.,divorced,secondary,no,200,yes,no,cellular,241,1,364,1,success,no
36,management,single,tertiary,no,490,no,no,cellular,207,8,98,1,success,yes
51,blue-collar,married,secondary,no,200,yes,no,cellular,136,1,359,1,success,no
27,services,married,secondary,no,200,yes,no,cellular,97,1,370,1,success,no
35,blue-collar,married,primary,no,298,yes,no,cellular,135,2,370,2,success,no
32,management,married,tertiary,no,913,yes,no,cellular,153,1,674,4,success,no
31,management,married,secondary,no,625,yes,no,cellular,59,1,138,1,success,no
51,services,married,secondary,no,867,yes,no,cellular,177,2,211,3,success,no
80,retired,married,secondary,no,8304,no,no,telephone,347,1,64,12,success,yes
